ticker,company_name,gw_high_count,gw_score_pct,gw_exclude,gw_watchlist,analyst_note
NHY.OL,Norsk Hydro ASA,0,0.0,False,False,"Main claim: ""Hydro's target is to be a net-zero company by 2050 or [earlier]"" (integrated-annual-report-2025.pdf, p22). SBTi: no validated target in the SBTi database. TPI Carbon Performance: 1.5 Degrees-aligned. 8-Test: 0 PARTIAL, 0 FAIL, 0 MISSING -> PASS. High disclosure quality — quantified near-term targets, explicit 2018 baseline, full scope coverage. Two MED flags: the trajectory is not shown as SBTi-validated, and external assurance of the emissions data is not evidenced in this report."
A5G.IR,AIB Group plc,0,0.0,False,False,"Main claim: ""Commitment to decarbonise our own operations by 2030 and our customer [lending portfolio by 2050]"" (aib-climate-transition-plan-final.pdf, p6.0). SBTi: Targets set, 1.5°C near-term target (2026). 8-Test: 0 PARTIAL, 0 FAIL, 0 MISSING -> PASS. Main claim: ""Commitment to decarbonise our own operations by 2030 and our customer [lending portfolio by 2050]"" (aib-climate-transition-plan-final.pdf, p6). SBTi: Targets set, 1.5°C near-term target (2026). 8-Test: 0 PARTIAL, 0 FAIL, 0..."
ORNBV.HE,Orion Oyj Class B,0,0.0,False,False,"Main claim: ""Orion has committed to reach net-zero emissions by 2050"" (orion-financial-statement-documents-2025-2.pdf, p63). SBTi: Targets set, 1.5°C near-term target (2030). 8-Test: 0 PARTIAL, 0 FAIL, 0 MISSING -> PASS. Source is the CSRD sustainability statement within Orion's financial-statement documents. SBTi-approved 70%-by-2030 target, explicit 2023 baseline, full scope coverage, limited assurance. One MED (assurance level)."
SOBI.ST,Swedish Orphan Biovitrum AB,0,0.0,False,False,"Main claim: ""Net zero 2050 (long-term)"" (202603260876-1.pdf, p54). SBTi: Targets set, 1.5°C near-term target (FY2029). 8-Test: 0 PARTIAL, 0 FAIL, 0 MISSING -> PASS. The 8-Test of Sobi's sustainability claims is clean — SBTi-validated targets, explicit 2023 baseline, near-term 2029 target, full scope coverage. NOTE: the IC PENDING_RAG flag concerns the Truvalue Laggard NEWS signal (a controversy..."
ITX.MC,"Industria de Diseno Textil, S.A.",0,0.0,False,False,"Main claim: ""Achieve net-zero emissions, reducing at least 90% of our carbon [emissions]"" (SustainabilityReport.pdf, p26.0). SBTi: Targets set, 1.5°C near-term target (FY2030). 8-Test: 0 PARTIAL, 0 FAIL, 0 MISSING -> PASS. Main claim: ""Achieve net-zero emissions, reducing at least 90% of our carbon [emissions]"" (SustainabilityReport.pdf, p26). SBTi: Targets set, 1.5°C near-term target (FY2030). 8-Test: 0 PARTIAL, 0 FAIL, 0 MISSING -> PASS. Strong,..."
GALE.SW,Galenica AG,0,25.0,False,False,"Main claim: ""aim to achieve net zero emissions by 2050"" (3695.ar.en.2025.pdf, p65.0). SBTi: Committed. 8-Test: 4 PARTIAL, 0 FAIL, 0 MISSING -> PASS. Main claim: ""aim to achieve net zero emissions by 2050"" (3695.ar.en.2025.pdf, p65). SBTi: Committed. 8-Test: 4 PARTIAL, 0 FAIL, 0 MISSING -> PASS. Galenica is mid-transition: a net-zero-2050 commitment and a documented transition plan,..."
AZN.L,AstraZeneca PLC,0,0.0,False,False,"Main claim: ""the aim of achieving science-based net zero ... to achieve net zero by 2045"" (AstraZeneca_AR_2025.pdf, p9). SBTi: Targets set, 1.5°C near-term target (FY2030). 8-Test: 0 PARTIAL, 0 FAIL, 0 MISSING -> PASS. Pharma annual report. Strong climate disclosure — SBTi-verified Net-Zero-Standard targets, 98% near-term absolute target on a 2015 baseline, independent sustainability assurance. One MED (assurance level). NOTE: a 2025 China legal..."
EOAN.DE,E.ON SE,0,0.0,False,False,"Main claim: ""reduce our own carbon emissions and aim to achieve climate neutrality by 2040"" (GB25-gesamt-EN_final.pdf, p6). SBTi: Targets set, 1.5°C near-term target (2030). 8-Test: 0 PARTIAL, 0 FAIL, 0 MISSING -> PASS. Utility/grid annual report. Strong climate disclosure — SBTi-validated near-term 2030 targets, climate neutrality by 2040 on a 2019 baseline, full scope coverage, lobbying disclosed. One MED (assurance level). (E.ON's high carbon..."
LLOY.L,Lloyds Banking Group plc,0,12.5,False,False,"Main claim: ""a real-economy transition to net zero"" (2025-lbg-sustainability-report.pdf, p21.0). SBTi: no validated target in the SBTi database. 8-Test: 2 PARTIAL, 0 FAIL, 0 MISSING -> PASS. Main claim: ""a real-economy transition to net zero"" (2025-lbg-sustainability-report.pdf, p21). SBTi: no validated target in the SBTi database. 8-Test: 2 PARTIAL, 0 FAIL, 0 MISSING -> PASS. Detailed bank climate disclosure — absolute and..."
UCB.BR,UCB S.A.,0,0.0,False,False,"Main claim: ""UCB is committed to net zero ... SBTi Net-Zero standard"" (iar_2025-web.pdf, p28). SBTi: Targets set, 1.5°C near-term target (2030). 8-Test: 0 PARTIAL, 0 FAIL, 0 MISSING -> PASS. Pharma integrated annual report. Strong climate disclosure — SBTi-Net-Zero-standard-aligned targets, 90% absolute reduction vs an explicit 2019 base year, transition plan fully embedded in capital allocation, externally assured. One MED..."
