metric_name,metric_category,definition,formula,required_input_fields,preferred_source,fallback_source,frequency,unit,interpretation,limitations
return_1y,Return,"Total price return over the most recent 12-month period, including dividends if adjusted close prices are used","(P_end / P_start) - 1 where the window is exactly 252 trading days","adjusted close price; 1 year of daily data",yfinance adjusted close,Annual report / investor relations,Annual,%,"Higher is better; compare vs STOXX 600 benchmark","Point-in-time; sensitive to start/end date; does not adjust for risk"
return_3y,Return,"Annualised total price return over 3 years","((P_end / P_start)^(1/3)) - 1","adjusted close price; 3 years of daily data",yfinance adjusted close,Annual report / investor relations,Annual,%,"Captures a medium-term cycle; less sensitive to single-year anomaly","Requires 3 years of price history; may include COVID distortion"
return_5y,Return,"Annualised total price return over 5 years","((P_end / P_start)^(1/5)) - 1","adjusted close price; 5 years of daily data",yfinance adjusted close,Annual report / investor relations,Annual,%,"Best measure of long-run compounding ability","Requires 5 years of price history; older data may reflect different business model"
annualized_volatility,Risk,"Standard deviation of daily log-returns annualised by sqrt(252)","std(log(P_t/P_{t-1})) * sqrt(252)","adjusted close price; minimum 1 year of daily data",yfinance adjusted close,N/A,Annual,%,"Lower is better for risk-adjusted returns; >40% triggers volatility exclusion in this pipeline","Does not capture tail risk or skewness; historical vol may not predict future vol"
max_drawdown,Risk,"Maximum peak-to-trough percentage decline over the measurement window","(trough / peak) - 1; peak = rolling max; trough = rolling min after peak","adjusted close price; minimum 1 year of daily data",yfinance adjusted close,N/A,Annual,%,"Measures worst-case loss scenario; more negative = higher risk","Depends heavily on measurement window; drawdown may not be fully recovered"
sharpe_ratio,Risk-adjusted return,"Excess return per unit of total risk; risk-free rate assumed 0% in this pipeline","(annualised return - risk_free_rate) / annualised_volatility; risk_free_rate = 0","annual_return_pct; annualized_volatility_pct",Calculated from price data,N/A,Annual,ratio,"Higher is better; >0.5 considered acceptable; <0 triggers exclusion in this pipeline","Assumes normal return distribution; zero risk-free rate assumption is a simplification"
beta_vs_benchmark,Risk,"Sensitivity of stock returns to benchmark (STOXX Europe 600) movements; proxy EXW1.DE","cov(r_stock, r_benchmark) / var(r_benchmark)","adjusted close price for stock; adjusted close price for EXW1.DE (benchmark); minimum 1 year overlap",yfinance adjusted close for both,N/A,Annual,ratio,"Beta >1.5 triggers exclusion in this pipeline; beta ~1 = market-neutral; beta <1 = defensive","Benchmark proxy EXW1.DE may not perfectly replicate STOXX 600; beta is backwards-looking"
revenue_latest,Profitability,Most recently reported annual revenue (total net sales or equivalent),"Direct from financial statements — no formula; use reported figure","Annual report income statement; yfinance .info trailing_revenue",yfinance .info (trailingRevenue or totalRevenue),Annual report PDF / investor presentation,Annual,EUR millions (convert if reported in other currency),"Baseline for margin calculations and growth analysis","Currency conversion required for non-EUR reporters; restatements may affect comparability"
revenue_growth_3y,Profitability,"Compound annual growth rate of revenue over 3 years","(Revenue_t / Revenue_{t-3})^(1/3) - 1","Revenue for current year and 3 years prior",yfinance .info,Annual report,Annual,%,"Positive = growing top line; >5% considered healthy in most sectors","Acquisitions can inflate growth; organic growth preferred but harder to source"
ebit_margin_latest,Profitability,"EBIT as a percentage of revenue; measures operating profitability before interest and tax","EBIT / Revenue","EBIT and Revenue from income statement",yfinance .info (ebitda - D&A approximation) or annual report,Annual report PDF,Annual,%,"Higher is better; sector benchmarking required; <5% may indicate margin pressure","Not applicable to banks or insurers — use sector-specific equivalents; EBIT may not be separately reported"
