company_name,override_type,override_disposition,override_evidence_source,override_evidence_date,override_reviewer,override_review_date,override_rationale_short,override_caveat
Klepierre SA,TRANSITION_WATCHLIST,RESOLVED,"SBTi public registry (ID 40009425, Targets Set); Sustainalytics Negligible 6.3; ISS Good; Truvalue Average (3-of-3 vendor pass)",2020-03-10,Torkel Mellin-Olsen (ESG Specialist),2026-05-21,"SBTi-validated targets since 2020 covering Scope 1+2+3 (1.5C, intensity-based); 3-of-3 vendor pass. The Bloomberg Tier-1=0 result is a data-vintage / boolean-parsing artifact.","Targets are intensity-based (per m2), not absolute - absolute emissions could still rise with portfolio expansion; sector-typical for REITs."
"MERLIN Properties SOCIMI, S.A.",TRANSITION_WATCHLIST,RESOLVED,"SBTi public registry (ID 40002014, Targets Set); 'Pathway to Net Zero' (Apr 2022); 2025 emissions reporting (-13% YoY absolute); Sustainalytics Negligible 9.89; ISS Good; Truvalue Above Average",2023-02-02,Torkel Mellin-Olsen (ESG Specialist),2026-05-21,SBTi-validated 2023 (S1+2 -50% by 2030; net-zero S1+2+3 -90% by 2050; 1.5C) with a documented commitment-validation-execution chain; 3-of-3 vendor pass.,The Bloomberg 2021 snapshot predates SBTi validation by ~14 months - documented as a data-vintage limitation.
Galenica AG,TRANSITION_WATCHLIST,MONITOR,"SBTi public registry (ID 40030648, Committed status); Sustainalytics Low 12.3; ISS Medium; Truvalue Average (3-of-3 vendor pass)",2026-01-08,Torkel Mellin-Olsen (ESG Specialist),2026-05-21,"SBTi Committed (Jan 2026) but validated targets not yet set; 3-of-3 vendor pass. Partial resolution - the weakest of the four transition cases, flagged engagement priority.",Validated targets pending (SBTi submission deadline ~Jan 2028); re-review at next rebalance if SBTi status changes.
Orion Oyj Class B,TRANSITION_WATCHLIST,RESOLVED,"SBTi public registry (ID 40012028, Targets Set); Sustainalytics Medium 20.4; ISS Good; Truvalue Average (2-of-3 vendor pass)",2024-09-26,Torkel Mellin-Olsen (ESG Specialist),2026-05-21,SBTi-validated 2024 (S1+2 -70% absolute by 2030; S3 78% supplier engagement by 2029; 1.5C) - the most recent and ambitious of the transition names.,Sustainalytics 20.4 sits just above the Low/Medium boundary - continued monitoring recommended.
AIB Group plc,TRUVALUE_WATCHLIST_FINANCIAL_REVIEW,KEEP_DOCUMENTED,Sustainalytics Low 13.17; ISS Medium; Truvalue Below Average (2-of-3 vendor pass); transition score 78.1 (HIGH),2026-05-21,Torkel Mellin-Olsen (ESG Specialist),2026-05-21,"Truvalue Below Average (news-driven) offset by Sustainalytics Low + ISS Medium and a strong transition profile (Tier-1=83). The REVIEW_REQUIRED verdict is the bank cash-flow framework limitation, not a company concern.",On both the Truvalue watchlist and the financial-gate review - a single IC sign-off covers both triggers.
Norsk Hydro ASA,TRUVALUE_WATCHLIST,KEEP_DOCUMENTED,"Sustainalytics Low 13.5; ISS Good; Truvalue Below Average (2-of-3 vendor pass); transition score 62.1 (HIGH, includes internal carbon pricing)",2026-05-21,Torkel Mellin-Olsen (ESG Specialist),2026-05-21,"Transition leader in aluminium (hydro-powered, lowest-emissions in its peer group); Sustainalytics Low + ISS Good. Truvalue Below Average reflects commodity news-cycle volatility, not fundamental risk.","Highest carbon intensity in the portfolio (~2,150 tCO2e/$M), ~62% of portfolio WACI; accepted on sector transition-leadership grounds and disclosed in the WACI section."
"Industria de Diseno Textil, S.A.",TRUVALUE_WATCHLIST,KEEP_DOCUMENTED,"Sustainalytics Low 10.8; ISS Good; Truvalue Below Average (2-of-3 vendor pass); transition score 93.3, Tier-1=100",2026-05-21,Torkel Mellin-Olsen (ESG Specialist),2026-05-21,"Strongest transition profile of any watchlisted name (Tier-1=100); Sustainalytics Low + ISS Good. Truvalue Below Average reflects fast-fashion sector news flow, not a company-specific fundamental risk.","Sector-systemic controversies (supply chain, microplastics, circularity) - monitor via news flow."
Swedish Orphan Biovitrum AB,TRUVALUE_WATCHLIST,RESOLVED,"Sustainalytics Low 19.0; ISS Good; Truvalue Laggard (2-of-3 vendor pass); transition score 65.0; greenwashing 8-Test PASS, score 0.0% - outputs/rag/greenwash_SOBI.ST.json",2026-05-21,Torkel Mellin-Olsen (ESG Specialist),2026-05-21,"The only Truvalue Laggard in the portfolio; inclusion was held pending the RAG review. Greenwashing 8-Test now complete - SOBI PASSES with all 8 dimensions clean (concern score 0.0%, 0 PARTIAL, 0 FAIL). No greenwashing issue found; inclusion confirmed.",RAG review completed 2026-05-21 via the greenwashing 8-Test (verifies sustainability-report claims). The Truvalue Laggard signal is news-sentiment based - monitor news flow at the next rebalance.
Lloyds Banking Group plc,FINANCIAL_REVIEW,KEEP_DOCUMENTED,"Sustainalytics Low 12.4; ISS Good; Truvalue Average (3-of-3 vendor pass, no watchlist flag); transition score 86.7; Sharpe 0.42, volatility 27.2%",2026-05-21,Torkel Mellin-Olsen (ESG Specialist),2026-05-21,"REVIEW_REQUIRED reflects the financial-gate framework limitation (EBITDA cash-flow metrics do not fit bank statements), not a company concern. 3-of-3 vendor pass, Tier-1=100, market metrics within mandate.","Known framework limitation - future iterations should use bank-specific criteria (CET1 ratio, ROE, NIM stability)."
Lloyds Banking Group plc,CONTROVERSY_REVIEW,KEEP_DOCUMENTED,OFSI penalty notice 23 Feb 2026 (ofsi.blog.gov.uk); City AM 26 Jan 2026 (cityam.com); Internal: data/rag/corpus/ESG_External_Research.md §7,2026-01-26,Torkel Mellin-Olsen (Captain) — IC sign-off,2026-05-27,"OFSI imposed a £160,000 penalty on Bank of Scotland (a wholly-owned Lloyds subsidiary) for 24 sanctions-screening misses on a Russia-designated person, Feb 2023. Lloyds voluntarily self-disclosed (penalty halved from £320k), the matter is one-off and isolated, controls have been strengthened, and the monetary impact is immaterial relative to the group. 3-of-3 vendor PASS, Sustainalytics Low, ISS Good — controversy does not warrant exclusion.",OFSI has cited this case as a reference exemplar for screening-system data-hygiene gaps; reputational footprint exceeds the monetary penalty. Re-review if any further sanctions-related findings surface.
AstraZeneca PLC,CONTROVERSY_REVIEW,MONITOR,Bloomberg 11 Feb 2026 (bloomberg.com); SCMP 13 Feb 2026 (scmp.com); FiercePharma 11 Feb 2026 (fiercepharma.com); Caixin 12 Feb 2026 (caixinglobal.com); AstraZeneca 2025 full-year results 10 Feb 2026; Internal: data/rag/corpus/ESG_External_Research.md §22,2026-02-11,Torkel Mellin-Olsen (Captain) — IC sign-off,2026-05-27,"Chinese prosecutors in Shenzhen indicted (a) former EVP / China head Leon Wang, (b) a second former senior employee, and (c) the China subsidiary on three charge categories: unlawful personal-information collection, illegal drug trade (Imjudo, Imfinzi, Enhertu), and medical-insurance fraud (against individuals, not the company). Material governance event in AstraZeneca's second-largest market ($6.65bn 2025 revenue). Retain on the strength of company cooperation, the departure of the indicted individuals, the narrowness of the corporate charge, and otherwise strong S/G fundamentals — but disposition is MONITOR (not KEEP_DOCUMENTED) given the materiality.","Highest-severity in-window controversy across the portfolio. Re-review at next rebalance and on any of: a formal company conviction, a US/EU secondary-action escalation, a >10% China revenue impact, or an SEC/FCA follow-on inquiry. Consider escalation to REMOVE if any of those materialise."
"Industria de Diseno Textil, S.A.",CONTROVERSY_REVIEW,KEEP_DOCUMENTED,Bloomberg 21 Apr 2026 (bloomberg.com — Inditex workers / Ortega letter); Fashion Network mirror (ww.fashionnetwork.com); Internal: data/rag/corpus/ESG_External_Research.md §27,2026-04-21,Torkel Mellin-Olsen (Captain) — IC sign-off,2026-05-27,"Inditex shop workers in A Coruña wrote a public letter to Non-Executive Chair Marta Ortega opposing the ARTE labour-standardisation agreement, which they say would erase locally-negotiated premium pay. Direct conflict with stated 'fair pay / decent work' commitments, symbolically significant as it is the company's home city. Retain — the dispute is localised, falls within formal labour-relations channels, and is consistent with the sector-systemic supply-chain risk already flagged in the existing Truvalue watchlist entry (3-of-3 vendor pass otherwise).","Tracks alongside the legacy Inditex Xinjiang investigation (out-of-window but ongoing) and the broader fast-fashion labour-relations risk. Re-review on any strike action, regulatory finding, or contagion to other regions."
DATA DICTIONARY (governance),DATA_GOVERNANCE_DECISION,KEEP_DOCUMENTED,Internal review of outputs/scores/data_dictionary_*.csv (677 variables); reclassification rules applied to align with the five-way taxonomy required by the assignment (reported / observed / estimated / AI-extracted / judgement-based).,2026-05-27,Torkel Mellin-Olsen (Captain) — IC sign-off,2026-05-27,"The legacy data dictionary classified all 677 tracked variables as 'reported', which understated the use of vendor estimates (EU Taxonomy Estmatd-prefixed fields), sector-median imputation (carbon intensity), AI-extracted content (greenwashing 8-Test ratings, quotes, reasoning), and judgement-based content (IC override fields). The dictionary has been regenerated to use the five-way taxonomy specified in the assignment. Substantive pipeline numbers are unaffected; this is a documentation transparency fix.",Reclassification rules are pattern-based on column names; spot-check ambiguous variables (especially derived metrics) at next data-governance review.
